"type","Status","Amount_In_Dollars","Original_Date","Traded_Time","Last_Updated","Deposit_Type","Fee_In_Dollars","Market_Title","Market_Ticker","Market_Id","Filled","Remaining","Direction","Order_Type","Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","Result","Profit_In_Dollars","Credit_Reason","Credit_Type","Introducing_Broker"
"Order","Canceled","","2026-06-17T08:31:31.429Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:31.424Z","","","","","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","5","0","","","","","","","","","","","",""
"Trade","","5","2026-06-17T08:31:31.424Z","4:31am EDT","","","0.04","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","","","Yes","Taker","16","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:30.632Z","","","","","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:30.590Z","","","","","","KXHYPE15M-26JUN170445-45","69105cb1-b803-4e7c-a860-22bc0515a36d","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:31:30.577Z","","","","","","KXDOGE15M-26JUN170445-45","b15d6ea9-6b61-40ed-b643-1faf2cbc7468","2","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:30.537Z","","","","","","KXBTC15M-26JUN170445-45","40c1e2d6-823f-47f1-93e7-71adeefd2af4","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:30.484Z","","","","","","KXBNB15M-26JUN170445-45","09a6a54d-e1e6-4165-847e-84ca7c5e56ec","0","0","","","","","","","","","","","",""
"Order","Canceled","","2026-06-17T08:31:30.428Z","","","","","","KXBNB15M-26JUN170445-45","09a6a54d-e1e6-4165-847e-84ca7c5e56ec","0","0","","","","","","","","","","","",""
"Order","Filled","","2026-06-17T08:30:21.503Z","","","","","","KXXRP15M-26JUN170445-45","6d200f2d-faeb-4f83-9537-2770bffab75d","4","0","","","","","","","","","","","",""
